IsoDatetime,SOURCEBUS.1,SOURCEBUS.2,SOURCEBUS.3
2022-07-15T00:00:00,(1.026110704041028+0j),(-0.5204067244504522+0.9013708873486805j),(-0.5221625625201314-0.9044120880952284j)
2022-07-15T00:05:00,(1.025907972296751+0j),(-0.5206020999237759+0.9017092875950298j),(-0.5221605623304758-0.90440862366512j)
2022-07-15T00:10:00,(1.026938102063832+0j),(-0.5208887333145078+0.9022057511909233j),(-0.5226186012846937-0.9052019704056713j)
2022-07-15T00:15:00,(1.0274863128239504+0j),(-0.5214064791415803+0.9031025132688197j),(-0.5227854226293246-0.9054909134503588j)
2022-07-15T00:20:00,(1.0289334948837192+0j),(-0.5228606219583184+0.9056211625088713j),(-0.5235578907873379-0.9068288675472673j)
2022-07-15T00:25:00,(1.0307101203489664+0j),(-0.5231437268578467+0.9061115145787262j),(-0.5242093417157191-0.9079572136538611j)
2022-07-15T00:30:00,(1.0318381861358794+0j),(-0.5231142398411633+0.9060604415676669j),(-0.524257089956423-0.9080399160327325j)
2022-07-15T00:35:00,(1.0305348210341871+0j),(-0.5224581274344752+0.9049240215438064j),(-0.5235268645681775-0.9067751285593146j)
2022-07-15T00:40:00,(1.031562406439091+0j),(-0.5229909964784173+0.905846977801695j),(-0.5237293535335291-0.9071258497352757j)
2022-07-15T00:45:00,(1.031255091000728+0j),(-0.52300195598368+0.9058659602216359j),(-0.5242097259497518-0.907957879166728j)
2022-07-15T00:50:00,(1.0324229932432143+0j),(-0.5235660550026974+0.9068430083830735j),(-0.5241363079941608-0.9078307155374563j)
2022-07-15T00:55:00,(1.0330387307321265+0j),(-0.5238258642315359+0.9072930111676973j),(-0.5243614126185525-0.9082206081839217j)
2022-07-15T01:00:00,(1.0172063336491088+0j),(-0.5156300094032255+0.8930973741936049j),(-0.5160528452589733-0.8938297473790222j)
2022-07-15T01:05:00,(1.0165901964735362+0j),(-0.515094478451048+0.892169807375408j),(-0.5160365038395859-0.8938014432103752j)
2022-07-15T01:10:00,(1.017742009458066+0j),(-0.5159974232020831+0.8937337535606281j),(-0.5164568218199901-0.8945294553077698j)
2022-07-15T01:15:00,(1.0182024914348429+0j),(-0.5164070364639399+0.8944432245416183j),(-0.5169218447894877-0.8953348987176264j)
2022-07-15T01:20:00,(1.021041130400075+0j),(-0.5175195223697774+0.8963701066532329j),(-0.518572096319581-0.8981932182130165j)
2022-07-15T01:25:00,(1.0221742538668719+0j),(-0.5182800287718455+0.8976873423810966j),(-0.5189874689040115-0.8989126646333211j)
2022-07-15T01:30:00,(1.021089323583471+0j),(-0.5175188308378236+0.896368908884754j),(-0.5189467503833923-0.8988421380867996j)
2022-07-15T01:35:00,(1.0202369435746026+0j),(-0.5167076664020301+0.8949639308686667j),(-0.5183457012770366-0.8978010904967478j)
2022-07-15T01:40:00,(1.020532610700412+0j),(-0.5169223514742329+0.8953357763213488j),(-0.518438251613934-0.8979613923825117j)
2022-07-15T01:45:00,(1.0187582160106414+0j),(-0.5173485970562007+0.8960740553258187j),(-0.519044583837323-0.8990115905996875j)
