Timestamp;Power [kW];QoS
08/12/2022 12:00:00 AM;85.515;0
08/12/2022 12:00:30 AM;84.855;0
08/12/2022 12:01:00 AM;90.798;0
08/12/2022 12:01:30 AM;91.789;0
08/12/2022 12:02:00 AM;91.459;0
08/12/2022 12:02:30 AM;91.954;0
08/12/2022 12:03:00 AM;94.595;0
08/12/2022 12:03:30 AM;95.091;0
08/12/2022 12:04:00 AM;94.926;0
08/12/2022 12:04:30 AM;95.421;0
08/12/2022 12:05:00 AM;96.576;0
08/12/2022 12:05:30 AM;97.072;0
08/12/2022 12:06:00 AM;94.265;0
08/12/2022 12:06:30 AM;92.119;0
08/12/2022 12:07:00 AM;92.944;0
08/12/2022 12:07:30 AM;92.449;0
08/12/2022 12:08:00 AM;92.284;0
08/12/2022 12:08:30 AM;91.624;0
08/12/2022 12:09:00 AM;92.119;0
08/12/2022 12:09:30 AM;91.128;0
08/12/2022 12:10:00 AM;90.798;0
08/12/2022 12:10:30 AM;90.963;0
08/12/2022 12:11:00 AM;90.468;0
08/12/2022 12:11:30 AM;88.817;0
08/12/2022 12:12:00 AM;88.157;0
08/12/2022 12:12:30 AM;89.643;0
08/12/2022 12:13:00 AM;86.341;0
08/12/2022 12:13:30 AM;88.652;0
08/12/2022 12:14:00 AM;90.138;0
08/12/2022 12:14:30 AM;90.798;0
08/12/2022 12:15:00 AM;91.459;0
08/12/2022 12:15:30 AM;93.605;0
08/12/2022 12:16:00 AM;96.081;0
08/12/2022 12:16:30 AM;92.614;0
08/12/2022 12:17:00 AM;95.586;0
08/12/2022 12:17:30 AM;95.751;0
08/12/2022 12:18:00 AM;95.256;0
08/12/2022 12:18:30 AM;95.421;0
08/12/2022 12:19:00 AM;94.1;0
08/12/2022 12:19:30 AM;93.935;0
08/12/2022 12:20:00 AM;95.751;0
08/12/2022 12:20:30 AM;95.421;0
08/12/2022 12:21:00 AM;95.421;0
08/12/2022 12:21:30 AM;93.605;0
08/12/2022 12:22:00 AM;91.954;0
08/12/2022 12:22:30 AM;94.595;0
08/12/2022 12:23:00 AM;96.411;0
08/12/2022 12:23:30 AM;95.091;0
08/12/2022 12:24:00 AM;91.789;0
08/12/2022 12:24:30 AM;90.303;0
08/12/2022 12:25:00 AM;87.992;0
08/12/2022 12:25:30 AM;88.322;0
08/12/2022 12:26:00 AM;88.157;0
08/12/2022 12:26:30 AM;87.827;0
08/12/2022 12:27:00 AM;85.185;0
08/12/2022 12:27:30 AM;86.836;0
08/12/2022 12:28:00 AM;87.992;0
08/12/2022 12:28:30 AM;87.992;0
08/12/2022 12:29:00 AM;87.331;0
08/12/2022 12:29:30 AM;87.497;0
08/12/2022 12:30:00 AM;89.643;0
08/12/2022 12:30:30 AM;87.166;0
08/12/2022 12:31:00 AM;86.836;0
08/12/2022 12:31:30 AM;84.195;0
08/12/2022 12:32:00 AM;86.671;0
08/12/2022 12:32:30 AM;88.322;0
08/12/2022 12:33:00 AM;75.445;0
08/12/2022 12:33:30 AM;76.436;0
08/12/2022 12:34:00 AM;73.794;0
08/12/2022 12:34:30 AM;72.308;0
08/12/2022 12:35:00 AM;72.969;0
08/12/2022 12:35:30 AM;71.318;0
08/12/2022 12:36:00 AM;69.997;0
08/12/2022 12:36:30 AM;69.832;0
08/12/2022 12:37:00 AM;69.502;0
08/12/2022 12:37:30 AM;69.667;0
08/12/2022 12:38:00 AM;86.341;0
08/12/2022 12:38:30 AM;88.817;0
08/12/2022 12:39:00 AM;90.963;0
08/12/2022 12:39:30 AM;91.294;0
08/12/2022 12:40:00 AM;99.383;0
08/12/2022 12:40:30 AM;102.024;0
08/12/2022 12:41:00 AM;104.336;0
08/12/2022 12:41:30 AM;95.421;0
08/12/2022 12:42:00 AM;95.916;0
08/12/2022 12:42:30 AM;92.779;0
08/12/2022 12:43:00 AM;89.478;0
08/12/2022 12:43:30 AM;93.11;0
08/12/2022 12:44:00 AM;92.284;0
08/12/2022 12:44:30 AM;92.284;0
08/12/2022 12:45:00 AM;93.275;0
08/12/2022 12:45:30 AM;86.506;0
08/12/2022 12:46:00 AM;88.817;0
08/12/2022 12:46:30 AM;89.643;0
08/12/2022 12:47:00 AM;91.789;0
08/12/2022 12:47:30 AM;91.459;0
08/12/2022 12:48:00 AM;91.789;0
08/12/2022 12:48:30 AM;92.614;0
08/12/2022 12:49:00 AM;91.624;0
08/12/2022 12:49:30 AM;90.138;0
08/12/2022 12:50:00 AM;90.303;0
08/12/2022 12:50:30 AM;91.294;0
08/12/2022 12:51:00 AM;93.935;0
08/12/2022 12:51:30 AM;92.614;0
08/12/2022 12:52:00 AM;93.11;0
08/12/2022 12:52:30 AM;92.449;0
08/12/2022 12:53:00 AM;92.779;0
08/12/2022 12:53:30 AM;93.935;0
08/12/2022 12:54:00 AM;91.459;0
08/12/2022 12:54:30 AM;96.411;0
08/12/2022 12:55:00 AM;94.265;0
08/12/2022 12:55:30 AM;95.916;0
08/12/2022 12:56:00 AM;96.246;0
08/12/2022 12:56:30 AM;93.275;0
08/12/2022 12:57:00 AM;96.576;0
08/12/2022 12:57:30 AM;90.633;0
08/12/2022 12:58:00 AM;87.992;0
08/12/2022 12:58:30 AM;85.846;0
08/12/2022 12:59:00 AM;87.662;0
08/12/2022 12:59:30 AM;91.128;0
08/12/2022 01:00:00 AM;90.468;0
08/12/2022 01:00:30 AM;93.11;0
08/12/2022 01:01:00 AM;93.11;0
08/12/2022 01:01:30 AM;90.138;0
08/12/2022 01:02:00 AM;89.973;0
08/12/2022 01:02:30 AM;93.44;0
08/12/2022 01:03:00 AM;78.252;0
08/12/2022 01:03:30 AM;78.417;0
08/12/2022 01:04:00 AM;78.747;0
08/12/2022 01:04:30 AM;75.445;0
08/12/2022 01:05:00 AM;75.61;0
08/12/2022 01:05:30 AM;76.436;0
08/12/2022 01:06:00 AM;75.61;0
08/12/2022 01:06:30 AM;75.94;0
08/12/2022 01:07:00 AM;74.124;0
08/12/2022 01:07:30 AM;75.445;0
08/12/2022 01:08:00 AM;72.308;0
08/12/2022 01:08:30 AM;89.808;0
08/12/2022 01:09:00 AM;88.322;0
08/12/2022 01:09:30 AM;85.515;0
08/12/2022 01:10:00 AM;88.652;0
08/12/2022 01:10:30 AM;90.303;0
08/12/2022 01:11:00 AM;88.982;0
08/12/2022 01:11:30 AM;90.138;0
08/12/2022 01:12:00 AM;88.322;0
08/12/2022 01:12:30 AM;91.128;0
08/12/2022 01:13:00 AM;92.119;0
08/12/2022 01:13:30 AM;87.992;0
08/12/2022 01:14:00 AM;86.836;0
08/12/2022 01:14:30 AM;84.855;0
08/12/2022 01:15:00 AM;84.36;0
08/12/2022 01:15:30 AM;87.331;0
08/12/2022 01:16:00 AM;87.827;0
08/12/2022 01:16:30 AM;87.992;0
08/12/2022 01:17:00 AM;88.487;0
08/12/2022 01:17:30 AM;88.817;0
08/12/2022 01:18:00 AM;91.624;0
08/12/2022 01:18:30 AM;90.138;0
08/12/2022 01:19:00 AM;87.662;0
08/12/2022 01:19:30 AM;86.011;0
08/12/2022 01:20:00 AM;85.515;0
08/12/2022 01:20:30 AM;84.855;0
08/12/2022 01:21:00 AM;84.855;0
08/12/2022 01:21:30 AM;85.185;0
08/12/2022 01:22:00 AM;87.331;0
08/12/2022 01:22:30 AM;89.313;0
08/12/2022 01:23:00 AM;89.313;0
08/12/2022 01:23:30 AM;89.313;0
08/12/2022 01:24:00 AM;92.614;0
08/12/2022 01:24:30 AM;95.751;0
08/12/2022 01:25:00 AM;95.586;0
08/12/2022 01:25:30 AM;94.265;0
08/12/2022 01:26:00 AM;92.449;0
08/12/2022 01:26:30 AM;92.284;0
