timestep,termination_status,objective,ss14_p1,ss21_p1,ss18_p1,t02_p1,ss16_p1,wt_p1,ss11_p1,ss13_1_p1,storage_p1,ss24_p1,ss29_p1,ss12_p1,ss19_p1,ss03_p1,ss13_2_p1,ss05_p1,ss15_p1,ss04_p1,t01_p1,ss25_p1,solar_p1,ss14_p2,ss21_p2,ss18_p2,t02_p2,ss16_p2,wt_p2,ss11_p2,ss13_1_p2,storage_p2,ss24_p2,ss29_p2,ss12_p2,ss19_p2,ss03_p2,ss13_2_p2,ss05_p2,ss15_p2,ss04_p2,t01_p2,ss25_p2,solar_p2,ss14_p3,ss21_p3,ss18_p3,t02_p3,ss16_p3,wt_p3,ss11_p3,ss13_1_p3,storage_p3,ss24_p3,ss29_p3,ss12_p3,ss19_p3,ss03_p3,ss13_2_p3,ss05_p3,ss15_p3,ss04_p3,t01_p3,ss25_p3,solar_p3
2022-07-15T12:14:30.0,ALMOST_LOCALLY_SOLVED,6.135090491922543,0.16220683238455624,0.0762249483647135,-0.026614996241900002,-0.003823904429947733,0.0063103312593211225,0.0006371898228825223,0.021292206966359473,-0.015022420951613213,-0.0018424778800645303,7.787803735226362e-10,0.14124347026805384,-5.759142274186502e-9,0.002308735765089276,7.621130704293932e-8,-6.112599759688919e-9,7.3673283029762615e-9,-2.0453998739178303e-7,-0.018765599147137157,-0.027489377722464736,5.424549698318515e-13,-4.5433732331900956e-9,0.1799773447456796,0.07454890668737302,-0.02082582533368149,-0.0026100530013626333,-4.113525076121505e-10,1.2610833266535337e-8,4.89504972112087e-8,-0.023233763924630058,-0.002542143585989809,1.6232961641549082e-9,0.15396705277727207,-1.8030374526745163e-8,0.008193093700282539,9.17053855076233e-9,-9.889440155674833e-9,1.7336885260732515e-8,0.009281121416679916,-0.012431659318787203,-0.028956299665275465,5.428990590417015e-13,1.4592222985498893e-9,0.1737745576913472,0.056132599602026545,-0.016323830339830536,-1.2664661763750473e-8,0.006620492890982099,0.0003264788999071122,0.023584483117564004,-0.017466175962957742,-0.0018989136698648323,1.8219541431108155e-9,0.1474632708215622,3.8947800540256594e-10,0.021240416113673666,0.0053726902924973174,-9.51209999655589e-9,1.4437958384405647e-8,-0.0018183062524044225,-0.016071891447933195,-0.026428410647152845,5.302425165609748e-13,-1.4339915921368629e-9
2022-07-15T12:16:30.0,LOCALLY_SOLVED,5.874951215761741,0.15764095213272977,0.07083634103049996,-0.02752042811472899,-2.303508552348177e-6,0.009036730072502941,0.0007875738700877655,0.03400730083251391,-0.014991240180886711,-0.0017395054069841986,2.43527642496133e-9,0.13682983933431214,-1.5164941302714396e-8,0.0077563086196072994,1.295134219869709e-7,-9.261739375432398e-9,2.6116822482435964e-8,-0.006122928965549557,-0.01807205564078096,-0.02334394505617232,-6.061817714453355e-14,-1.508057811960839e-8,0.1857318824741847,0.06118857414546497,-0.018338254439694834,-0.004756076987557867,0.001454940868697685,-1.991828479930291e-9,6.712629341265597e-9,-0.02358340410591131,-0.0026909385859701374,5.433955285738534e-9,0.16004009600430646,-4.6640518780449725e-8,0.012043242851176084,3.421371874701151e-8,-2.1099758162890225e-8,5.1854231797321404e-8,1.8975945925703286e-8,-0.011809375202183281,-0.02969592140917854,1.1679546219056647e-13,2.6729480318232746e-5,0.17620675430131372,0.047262660896927766,-0.01477645669267158,-3.791044522749587e-8,0.0064484627960310625,0.0002097181087790112,0.024292737574237888,-0.018071391052816743,-0.002236074945454636,6.319424095124759e-9,0.1482499753439852,6.587541623304105e-10,0.023554725405896093,0.00777564733403624,-1.7925922302097774e-8,4.47704404660243e-8,-0.009848701996074238,-0.012361376269599766,-0.02724078670878427,1.1945999744966684e-13,-5.46050604732784e-9
2022-07-15T12:18:30.0,LOCALLY_SOLVED,5.240837848505857,0.1581695275432351,0.06762286036374121,-0.0278353896987662,-5.239737419060475e-6,0.007789532682398903,0.00028548433603114987,0.03443147609292829,-0.015221579272203023,-0.002355741950698542,2.1787809334483654e-9,0.1336259563350075,-1.515539471697025e-8,0.014368667159244009,9.769149267313537e-8,-8.69241256751252e-9,2.6759886972982372e-8,-0.010685925042623223,-0.01601557586284641,-0.023911566268710605,-4.874767256524137e-12,-1.7013726649750538e-8,0.18910377439960935,0.057955431790176704,-0.01996158977379925,-0.002861197957249484,0.00045248489816485105,-1.338756661084517e-9,6.4718954639886306e-9,-0.024709021028157085,-0.002671951932647687,5.309017003796157e-9,0.16285194182253293,-4.855049140495282e-8,0.013081700286386555,3.566254758169407e-8,-2.2871180505035227e-8,4.914975493264251e-8,1.9809889284516657e-8,-0.013031798435037212,-0.028349501181941017,-2.2228885399044884e-12,0.0005637610737221355,0.17824680767018863,0.05332630176487951,-0.01122309972678237,-3.755607158595353e-8,0.006212691159952488,-5.5160849221636e-9,0.023609734472670896,-0.018894183691824162,-0.0021174803856844893,6.679098829565078e-9,0.14899716611428815,6.880862546410071e-10,0.02299267664350535,0.008483606703524105,-1.7955477771280925e-8,4.6890484828310264e-8,-0.007355220926624106,-0.013886485169419371,-0.024991830708788854,2.6121327323380683e-12,0.00016082406427786466
2022-07-15T12:20:30.0,ALMOST_LOCALLY_SOLVED,2.452988830729543,0.15890858427515653,0.06751464316753975,-0.02816853620525106,-2.7901049459710947e-6,0.010744387736978389,-1.6138866909543026e-8,0.03708917455101157,-0.01586481732421885,-0.002403563153709376,2.1999126964544757e-9,0.136298749067032,-1.528396476047078e-8,0.018361015539593684,8.752612612461519e-8,-9.011737134301256e-9,2.791383924005686e-8,-0.007941832660915749,-0.01686412286411354,-0.0233205564638288,1.8808288260174777e-11,0.00020046686316588236,0.1881344190753338,0.058634953419366864,-0.023114310107203107,-0.004360510579687782,0.0014378611311050005,-1.4311440921233043e-9,6.3905964964305895e-9,-0.02526607959856242,-0.0025397397443889247,5.478814957271538e-9,0.16286813940706257,-4.878774917393969e-8,0.009419726440639486,3.924991798243127e-8,-2.3135663385076555e-8,4.76252126624388e-8,2.0257780786181456e-8,-0.01495489061672739,-0.029995180528328058,2.1118440329814803e-11,0.001591741694493276,0.17794484079282502,0.05359095145920767,-0.012133981824819395,-3.7691392673622204e-8,0.006179858445881425,-5.7215303606028556e-9,0.02501701719577909,-0.018913773898975972,-0.0019409574513837846,6.558637410947199e-9,0.14922351926627897,7.488838438263201e-10,0.022173706241398028,0.007267884502277555,-1.760528633987235e-8,4.505862549741835e-8,-0.006504403776638412,-0.014145558945027004,-0.026868034101728888,2.212185989947102e-11,0.001041871735260047
2022-07-15T12:22:30.0,ALMOST_LOCALLY_SOLVED,0.7976871499414516,0.15512096569251543,0.0673304388099416,-0.024947447625029318,-2.621457432683272e-6,0.008096744136089518,-1.9126862538243472e-8,0.03986770614838164,-0.01726849829023558,-0.0026356846096771136,1.8856307626435864e-9,0.1330492231499094,-1.51472321352486e-8,0.021655665727556395,4.921045637651389e-8,-8.178167254513369e-9,3.29757721129198e-8,-0.009533584430383879,-0.018145543217237936,-0.02378645995030415,5.219119803001604e-9,0.00021876506665341466,0.1919287610585514,0.05474727296160342,-0.021549053594274836,-0.0024177461037815373,0.003397591389177057,-5.815430359490392e-10,6.473039659837809e-9,-0.027831351656396386,-0.0024992369054677166,5.323536056422995e-9,0.16484018288874447,-4.878946935349404e-8,0.010189072802296417,5.0575365895255686e-8,-2.6216607107443224e-8,4.049689095175779e-8,1.9941873929951726e-8,-0.014431078843974321,-0.028190954163838988,5.219358945041108e-9,0.0022391740964460283,0.1783587956608257,0.05060686216827315,-0.007133722409311316,-3.756987743130935e-8,0.0051452538426568495,-5.834432936779876e-9,0.02767647811032603,-0.02095384445772175,-0.0023067337260205267,6.977500133231729e-9,0.14811532730178434,7.07080838324714e-10,0.02668640368221853,0.0105532815704803,-1.693215634368528e-8,4.6374899254075785e-8,-0.009514995989857722,-0.012529693358689142,-0.02444991564730703,5.159376481600475e-9,0.0009407294853387427
2022-07-15T12:24:30.0,ALMOST_LOCALLY_SOLVED,0.5546623694596267,0.16066314887071997,0.06602461908981772,-0.025257478118733356,-1.7666464573462548e-6,0.00865196611796537,-1.76235479543152e-8,0.03449406549639655,-0.01738859527667458,-0.0026168742859751237,2.2540322941466684e-9,0.1389772590381464,-1.5358221139294415e-8,0.02313550849166157,1.1407959688014557e-7,-8.49966830251958e-9,2.580686886410888e-8,-0.008071250477301728,-0.017743601722309377,-0.0213772964062815,-3.2243097081163796e-12,6.58860072615397e-5,0.18543593646350875,0.05921182158105798,-0.0207403533390631,-0.00450444912821002,0.00012476586605303375,-1.8420036607125212e-9,6.440015187791914e-9,-0.026924392862445634,-0.002552398457560612,5.158470539612381e-9,0.15746028473284657,-4.773310147143661e-8,0.009266245793576156,2.9758366437704353e-8,-2.1520752513382035e-8,5.3291475676786604e-8,1.9893668268267106e-8,-0.014109682515323962,-0.029916641769702768,7.87014897696281e-12,0.0017361784763139099,0.17879971969465536,0.05415323176702014,-0.013847062688929102,-3.850292351614826e-8,0.006993093480158086,-5.358324894899624e-9,0.027271122274190374,-0.02048375728727403,-0.002274734498168618,6.549831121915872e-9,0.14989561217856684,7.843854454847587e-10,0.022748086953125135,0.007018592031388771,-1.8707454918498456e-8,4.690736532531048e-8,-0.0051563228941786665,-0.013988577130836788,-0.022810631845828322,6.027844889899825e-12,0.0010229523673845886
