bus_id,vm
ss17,6.81531606140181
ss13,6.770369156030291
ss24_lv,0.243304135174735
ss16,6.6266688795189195
tx5,6.832727274265347
ss06_lv,0.2401032351899321
ss21,6.6530808494282985
ss19,6.729453903976802
ss27,6.68155171793018
ss18_lv,0.24269308485230515
ss15,6.640855567765287
tx3_lv,0.4414515798240035
ss23,6.701992689752644
t08,6.641146391180417
ss25,6.651312026798774
ss08_lv,0.24056442021766575
t02,6.629644656423948
tx5_lv,0.253987455572002
t08_lv,0.2403786745667015
ss26,6.797335408647229
ss03,6.695384826562985
tx4_lv,0.4321316656111407
ss01,6.62969689143983
ss05_lv,0.24097208678260293
t07,6.641062874420744
ss11,6.630662945361951
ss19_lv,0.24361064021683207
rmu2_lv,0.4129283864519995
ss28,6.637427285015345
ss23_lv,0.24260567283849013
t02_lv,0.2399576631926721
ss22_lv,0.24171048698655417
t07_lv,0.24035060283885631
ss14_lv,0.24607471473581335
ss06,6.633621537781682
ss24,6.721078287986932
sub11,6.7557582383822545
ss13a,6.759894037197858
tx4,6.832663180243363
ss18,6.704381182390829
ss14,6.7974315030590775
ss02,6.641229817666516
ss22,6.677533065679782
ss04,6.667715726998806
t01,6.629383232005424
ss12,6.679826407509202
ss15_lv,0.24036802939045054
ss08,6.646220953062847
rmu2,6.876557922864219
rmu1,6.8715454517537555
ss05,6.657358641990073
tx3,6.839061896999111
ss03_lv,0.24236384089563145
ss17_lv,0.24675236303826192
rmu1_lv,0.41198197922017904
ss30,6.831639060801163
ss16_lv,0.23984873508666144
t01_lv,0.23991041017006656
sourcebus,78.74041751483982
ss21_lv,0.2407906331946153
ss04_lv,0.2413511697288824
