IsoDatetime,t02_a,t02_b,t02_c,t01_a,t01_b,t01_c,ss03_a,ss03_b,ss03_c,ss04_a,ss04_b,ss04_c,ss05_a,ss05_b,ss05_c,ss14_a,ss14_b,ss14_c,ss15_a,ss15_b,ss15_c,ss16_a,ss16_b,ss16_c,ss18_a,ss18_b,ss18_c,ss19_a,ss19_b,ss19_c,ss21_a,ss21_b,ss21_c,ss24_a,ss24_b,ss24_c,ss11_a,ss11_b,ss11_c,ss33_a,ss33_b,ss33_c,ss29_a,ss29_b,ss29_c,ss27_a,ss27_b,ss27_c,ss26_a,ss26_b,ss26_c,ss28_a,ss28_b,ss28_c,ss25_a,ss25_b,ss25_c,ss06_a,ss06_b,ss06_c,t07_a,t07_b,t07_c,t08_a,t08_b,t08_c,ss08_a,ss08_b,ss08_c,ss22_a,ss22_b,ss22_c,ss23_a,ss23_b,ss23_c,ss17_a,ss17_b,ss17_c,ss12_a,ss12_b,ss12_c
2022-09-16T00:00:00.0,975.2931228699075,1357.0321870671028,1880.2258172916368,-5617.86252222087,-4540.592726331709,-5549.481344559644,-415.21676939909446,-423.1093467280517,-598.4502865881734,-5140.768996614497,-4947.858154569983,-4294.525861839273,-3439.4787930937796,-4625.608501092517,-5124.290238842574,-5016.07446650782,-6258.8025625913615,-6232.8880744992975,-4173.9064417624295,-4075.653664286921,-5228.670638313807,-2330.860136364119,-2702.786559936945,-2888.4522955034677,-3299.696978993432,-2737.477622381396,-3163.6027972658158,-3468.349159352302,-3612.3425661307233,-3516.170745292498,-8912.18436703421,-9579.965692920745,-9162.575872297297,-5352.588249389541,-6316.4619970734275,-5182.0074841513315,-942.2238364269895,-1524.0187868382975,-1124.0643414037174,-541.4585964355812,-534.4740257152488,-1611.8308578520237,-7584.029173151265,-9038.549141271415,-8365.00741701889,-264.7054099338725,-243.12099405043202,-1891.5988837909606,-1438.7616661811742,-83.61737642218948,-624.9743733551676,-487.1202941238877,-1104.2419663321798,-727.4338148150263,-4704.791500326683,-4792.183498475989,-4582.672425591881,-1895.9222937512995,-908.8241263972293,-602.2214753456482,-1423.0534075306462,-494.6346161998434,-1000.9394336430541,-1962.3374212306046,-815.9022694981614,-1639.272707076765,-1115.5109293727908,-128.53799248900427,-1959.8547332932892,-1880.3707442428095,-1944.2835988951902,-109.2527679820839,-828.3834401518861,-1752.7842827153245,-363.84170893771613,4013.304632882047,3211.167291245323,3925.934878563289,6191.659596783581,6442.431058016013,6509.555404077434
2022-09-16T00:05:00.0,-2476.103340966515,-3729.7702722416007,-2547.1179514142314,-6812.4793536133475,-6071.429381200738,-6323.635702579482,393.09151630932274,-1133.2329951031543,-714.9425639356926,-5716.8050678447635,-4610.974537864966,-5696.712983926347,-1067.0985615250534,-2699.740828989524,-3615.2184953619694,-5512.687691593356,-6059.900081577651,-7184.050364970739,-4187.322109998228,-5141.232731313189,-4289.138784576218,-3126.8030331938817,-3506.7964270856437,-3243.41035119568,-3174.0718593034994,-4434.783282563756,-2480.623147105278,-4571.042618263599,-4884.922478791695,-3729.2347691920154,-9973.818929557752,-11091.917677425048,-8741.218138414895,5511.099168757441,4574.3199384124955,4223.7295745184,-2487.5547571584025,-844.85204642199,-1436.4957234604285,-1901.2334778004113,-463.6515800816624,-697.4193474967246,-7758.13263629369,-8604.063127454343,-8531.713314587469,-876.1537958316842,-1626.854406810488,-592.9620119143249,-2649.0817150143503,-2680.2534185400227,-2407.1545765894816,-2244.583069694773,-268.9526733820715,-1086.9175463206657,-4421.393030272748,-6017.762036046603,-6360.909873962924,-54.504087389277856,-2226.4969522349184,-704.7779667170558,-1587.6200838691323,-1691.8068346816465,-2100.322175667615,-1801.4862123879857,-2293.742911717945,-1697.0701069615973,-2252.8931097336585,-1005.6189471836462,-584.9312118088046,-1819.2433767893892,-2181.335258878387,-426.29017310821934,-1245.8638795833967,-1076.898051444599,-2025.1571411483892,4535.3978867983915,3505.2282462535163,3589.6656151682655,5840.498157031744,6243.0558494335455,5174.007398965634
2022-09-16T00:10:00.0,-1698.017320364403,-2638.6886660953223,-2629.6098979608623,-5746.514768636109,-6600.280728332769,-6532.633688895297,48.14040191858254,-765.9570835329462,-710.7531344282693,-4747.753919221397,-3847.7140487448164,-5307.197099573072,-3361.7339677448936,-4488.938108997236,-4033.5994231661043,-5022.864099013542,-5063.342690119211,-5241.804542094072,-4933.756686882991,-4784.964676251708,-5004.919250755876,-2141.337240002356,-2301.3980442107536,-2660.6428030792276,-3122.50039489202,-3689.3167075614033,-4026.903064100496,-2650.568449300593,-2768.3309905139286,-2609.4578274130554,-8439.502731333208,-10188.539867504825,-9803.391389683817,-7828.018143983752,-7979.477314802348,-7269.87357442519,-1268.0728765322194,-1463.7624207169529,-347.5298175170591,-320.7680617843261,-358.7570875054046,-961.899459794293,-7117.818863436104,-8738.99596427027,-7759.455705766167,-508.89949358558584,-744.2976618334859,-1470.8354704252517,-1008.6822218742521,-1517.4781717351927,-1034.398893016694,-969.2587271837009,-1270.8550543254098,-1374.3115567883935,-4842.299861883394,-4512.80278849927,-4613.337214835082,-661.8480908978512,-1488.9405564726335,-1798.250554251564,-454.2239894732651,-7.919530884635522,-1231.7426964933572,-1673.6794455768872,-1171.7398591284602,-1091.057946098152,-548.4864314196237,-310.27021778834813,-248.4482015689701,-1572.8387571968572,-128.5813606907869,-1104.2654305582278,-1585.6383715862298,-753.798465632735,-665.3500524564469,3827.7256379850687,3283.473799859341,4719.886602956036,6033.014850158888,6086.0387750270065,6258.335992350683
2022-09-16T00:15:00.0,-2184.607200428515,-2137.4430777887637,-2165.5304042231364,-5278.913167544428,-4974.238076770185,-5349.795500117012,-322.1164743428028,-609.9283052491733,-575.9871335110424,-4030.8290136444825,-5356.7701855520545,-4860.110749895598,-676.0999530669226,-958.9547039171482,-1314.7124090177313,-5224.936628113472,-5229.878612460646,-4974.3731054293485,-3930.3921980608593,-4931.974456815304,-4290.111461540841,-2545.7659617265363,-1998.0086021742864,-1152.1138738922298,-3450.5238778300545,-3126.3280206743348,-3560.842190964996,-3542.7625160974103,-2798.9732626473497,-3804.9132035515286,-9549.771141549112,-9987.341737314207,-10102.49642751541,-6198.367023969404,-6105.455296433458,-5415.008939761566,-1399.8847386189072,-258.1844824375903,-1231.5034417419217,-763.0177558726915,-364.89151390104263,-579.9738686298622,-6888.930356796741,-6949.1733821890975,-7369.546077379647,-1682.114993328106,-206.01469413786614,-380.6077574113083,-907.9582352255316,-1574.36675466113,-486.3483033992923,-1219.991931269723,-1654.7922330179615,-1446.1511935143035,-4528.085124798568,-4639.324550166763,-5010.29428722282,-1748.2374641458264,-1114.3522584520601,-56.43353476413189,-82.63559254946372,-63.85929112063491,-1238.66512203667,-724.5952750301205,-1238.6985241078808,-1637.141650169675,-963.5025122622565,-794.5532583617845,-1038.6763532620357,-1142.423081038939,-1320.43673993642,-821.4642273031278,-1419.3244432731044,-264.9336307447598,-1786.1359000161729,4365.738527812366,4955.686250356755,4302.738124632846,6932.798046348958,7901.027454327223,7955.145028401744
2022-09-16T00:20:00.0,749.489633533421,504.68928065555133,492.1081588107984,-5876.5381286669035,-6238.630592638299,-5124.642730121479,-614.4217597205668,-1682.8129679122376,-396.6305392529531,-4151.1325503232565,-4070.582781217951,-5317.532826054731,-3267.333070040733,-3854.5346268092044,-2591.5785905876,-5817.226969560178,-4854.14222161029,-5305.12290971385,-3788.15088092702,-4213.918815549661,-4149.481501201301,-2429.6008222308265,-1607.1450359642797,-1408.9620710827573,-3184.6270812415564,-2311.7095973346864,-2588.0803835024335,-3449.118707393649,-3246.2997335140235,-4079.594440605122,-9502.90984650431,-9706.79724039952,-8573.271831922824,-6075.543487862199,-6115.717822703088,-5660.502309476138,-121.35297551931467,-1137.7733605024066,-370.6328972941786,-565.3669493896347,-882.2761771022267,-839.4773306669184,-8632.527989506905,-7698.015770908412,-8720.405105949123,-1339.512166649699,-1423.3283978487914,-1060.6900273765768,-727.510065854448,-1240.6248519222984,-1701.7577773277308,-1766.5568813504526,-1068.077834509328,-537.3601808147923,-5424.25321680051,-5336.457047971145,-5469.74851775417,-843.7064071538588,-193.3892758671531,-1757.697753621907,-829.3438359919318,-667.7455383584445,-256.9841857080117,-1343.3713560103345,-983.6402711599453,-1710.5928868761353,-1312.5338723958605,-219.10712372760656,-447.0203011752822,-1794.8996774214017,-903.3937848599917,-1237.4468368901548,-157.56117211697446,-871.9800361441921,-1713.1561992047,4553.457965416495,4605.109894911858,3973.8320647536652,7738.782746297044,6223.998349704059,7914.101142461895
2022-09-16T00:25:00.0,-1956.3102281627362,-1310.0599972336422,-963.278207491838,-5936.261018728356,-6449.781063331548,-6850.124331282248,-1421.1058083981586,-680.6082334712519,-2165.6808360989553,-5079.643276745958,-4107.9193292235195,-4391.416787313889,-1660.6259207924654,-2551.378238932055,-1690.4059071348067,-7041.962648879625,-5526.18377513877,-6611.988477192351,-5782.357212853813,-5075.334556798367,-5023.922596438072,-1968.405844279372,-2937.0250441040344,-3096.9919037380178,-2849.6788524143576,-3955.625610860299,-3380.586756466363,-2709.400998520996,-2384.817853721186,-2434.40297020445,-8462.809462514024,-9781.129029828122,-10350.221362622036,1754.5358285474554,-526.937348903999,1756.3433379556768,-1702.0065617216858,-1969.9061870983178,-1340.1308819036014,-1154.637241191058,-226.2368495662634,-2351.844147810409,-7297.27168589134,-7479.0367682185915,-7868.973818069434,-429.13305071419603,-2381.7716954861526,-2025.0101626033147,-387.7433041284597,-919.2756146709226,-313.7224696653435,-1877.5825351495719,-356.0744425233096,-717.8805466724464,-5355.588660696108,-3953.6040517418455,-5047.281969084578,-685.6469504444625,-2133.577489929684,-1128.4330849274536,-1871.995490024314,-2489.8049533852586,-726.9393327999883,-828.0603768753638,-1802.4045202687437,-704.5860358896479,-1647.2345609884624,-521.9817733685703,-1658.494114724033,-1664.681274093593,-2393.4786322780965,-461.25072886505524,-1532.7083488982892,-1962.7504447175465,-1484.2071485998265,3338.6838400200086,4226.532611627922,4313.473601547147,5608.246337555529,5668.074177161933,5505.50381397162
2022-09-16T00:30:00.0,153.6423825783845,775.7091157148172,281.859777509658,-4779.382769187715,-4392.114358614221,-4941.580568313462,189.03119273676555,-1107.8662657742702,-1219.088647530747,-4568.538545703758,-4925.419962188833,-4853.949562077443,-4708.003630448697,-4091.223249879499,-4938.205141121716,-5982.653107908588,-6316.327440493888,-4824.566535977527,-4329.417465380063,-4133.4886368573025,-4308.854393330056,-3105.647933117309,-2719.394189674639,-1943.4305121757138,-3484.2183607751085,-2304.516149606739,-3235.0855289495667,-2802.098723900892,-2733.311288056961,-2982.8757470385985,-8517.407965386235,-10481.985745570077,-9575.340774728735,-7996.100950929574,-7831.384306215264,-7334.185211785443,-1428.8053431105702,-1435.329805587162,-1591.2065358863208,-1432.6876601045533,-1018.6103527746877,-1425.7938991404176,-8683.423565410343,-8230.4881241767,-7510.565573732977,-616.6981829271199,-340.84024638254783,-1940.0833023215316,-1290.971148403497,-1052.5746389351386,-1707.9276531707312,-182.60126321166078,-1247.8176038947258,-1647.9913760656614,-5849.9046063517135,-4464.940037117047,-6453.9086415185575,-1717.9416890331893,-2021.7453184556598,-904.29611991874,-1802.1029999198404,-1775.7606603794434,-600.5439252003385,-1052.3356193143989,-426.89866865890406,-282.07309381766083,-863.4778368015648,-82.64793795172318,-1007.5206294748648,-188.04394454709796,-270.2834149806083,-157.10301956405607,-510.3444334740154,-476.5255563576666,-743.6199056751744,4124.978195082063,4807.440276763289,3309.9947868368326,6614.030870368003,7367.300472117517,6743.082261139607
2022-09-16T00:35:00.0,724.1142812432417,1038.3025289498173,1883.811592728772,-6223.554298744444,-6007.242966847557,-5852.355750470001,-588.9210857276926,-843.4821902265712,-700.5390819780625,-4470.447553902322,-5550.9818853203515,-5255.718276228832,-2648.1545952925367,-2976.7496276913644,-2208.1785769489798,-5923.678133458185,-5075.218220701956,-6500.215932392043,-3329.405064135002,-4401.636020828302,-3423.5334179417778,-1717.5730791317048,-1715.7795517699094,-1438.6814088392277,-2650.0299445652095,-2381.0251151834855,-3658.2126011166783,-2400.065798832314,-2661.518260789047,-2910.040595971256,-9936.952870074856,-9487.740541233425,-8957.218247486458,-7298.896569853994,-7003.725145859425,-6982.480194504266,165.44227085792434,-1359.6219627568782,-783.7395401290806,-1489.882124767379,-980.3204753665062,-8.022968064419217,-8338.59623764812,-7678.075736087954,-7893.988516432884,-1027.7611553334766,-1094.3482612474502,-849.2577857304094,-1392.9148102102822,-1070.134981013269,-527.6923028294443,-1349.175617572977,-1466.9179739251103,-1405.7355581347772,-3709.9039778535316,-4229.250597277085,-4566.421964541715,-976.4302402300528,-1401.4192219929755,-970.7670716742304,-1590.2315900733495,-1142.0147624045278,-33.26507532721619,-831.4774929642941,-521.438993882091,-528.4688263999824,-1685.9519668027106,-60.30432079726947,-596.6638975290468,-1079.6809304630879,-523.6063750129628,-1124.7950027245865,-536.6377079771954,-1111.3938301396831,-870.727277764573,4577.569642501109,3587.417569772398,3385.0992826144075,6473.51008731335,7210.627359247123,6725.988692007401
2022-09-16T00:40:00.0,1826.221249831512,981.2976343429999,326.0535449073848,-6708.698398000072,-6436.801184411156,-5488.178800958523,414.16551109204477,-748.0160651215995,-1310.8437602222502,-4374.816104096908,-6020.057692534167,-5275.582946301627,-3825.1576230825603,-3173.165953878396,-4820.225207915167,-6737.1255761887005,-5473.623594929522,-5868.276138774082,-4402.817383939337,-4101.920281268977,-5029.583487847045,-3032.8929541194893,-1938.967827762965,-2512.218507320793,-2573.490606690121,-3061.7751314951543,-4423.825457689514,-4319.130874177513,-3870.3475205933337,-3705.8017156594215,-8557.206639431652,-8690.782687443218,-8688.647378152695,-6333.480570189895,-6831.060115627056,-6921.541307009014,-1897.2305861859456,-305.0733672809332,-1252.0865579135636,-1768.684160288761,-373.4333472961542,-2202.331774344429,-8227.296768757931,-7421.106783172401,-8994.209462199267,-1791.6144725993686,-1320.775207759709,-1970.1709499199471,-1547.2288661202792,-295.59518256644316,-717.976094230107,-992.2063037629925,-109.03955374567158,-1350.7639304838492,-4886.528491908729,-5272.046929285262,-6079.911943966103,-1811.3602941659906,-1969.4596109686927,-2116.296444712193,-296.01587800588936,-1574.2703343022517,-353.24670703809335,-1777.1038346339938,-1439.1096474215487,-1008.6004846787022,-1788.1180596895506,-1842.7867351820157,-1492.7038251107413,-1650.3421837646806,-534.2354671602806,-362.4055140559333,-1074.059533923893,-1155.6891135959645,-474.4913900303509,4790.68863611345,2671.762146173516,2694.706259997396,5720.045654717547,5781.728865138095,6343.332488585659
2022-09-16T00:45:00.0,327.93857607687323,1567.6425316447649,-104.87499995531698,-5660.631591344599,-5335.9423942332605,-5966.188131622906,-658.7317919978952,-1209.8963118958745,-321.4010381254564,-4993.505073928639,-4374.348898537598,-4577.822869171755,-3932.9069791014617,-2974.5759091778214,-3569.5172785082214,-5633.543068872306,-5388.900989449712,-4941.641140650375,-3705.351783215645,-3641.7409778247666,-5211.790712545218,-2633.5042420991904,-2619.2024839733285,-2335.3058666918914,-3160.133447183954,-2301.694270412579,-3418.9310925185587,-3768.8407659938102,-2716.926846119232,-4038.194092398507,-10092.49552120794,-8510.128111046659,-9645.781801550154,-8088.6899487436285,-7545.430567687636,-6908.62827545318,-644.1659462930561,-236.4441333042796,-353.5889767434318,-634.6193793577448,-1312.8880500760238,-1052.8955614266756,-8394.41817842436,-7457.412666174071,-8205.338264660913,-1032.4110478805635,-1394.3739135606197,-149.50542518569165,-1256.9470627265637,-181.25867247883735,-1609.0302140352335,-777.4201067099754,-554.2109618158245,-134.77294154460927,-5555.470882426473,-4717.772005252002,-4890.109780104576,-1009.5608779812923,-982.8227442942664,-916.4152026081885,-1641.5866635739392,-826.0884235707261,-1801.5538670145243,-1254.3196792308686,-1049.0169213135248,-646.2351398886454,-178.19771629831288,-59.47238730923537,-1155.1501206311518,-1793.5302155785885,-1805.1620402943295,-124.87520293276334,-1525.8071448377545,-722.8437797119842,-1863.2260092895049,4093.1391436516633,3899.3742279640464,3909.6555521030045,6707.231160356013,5719.934104707464,6650.870810736493
