IsoDatetime,SOURCEBUS.1,SOURCEBUS.2,SOURCEBUS.3
2022-09-17T03:00:00,(1.027732431935489+0j),(-0.5197686140599087+0.9002656477314214j),(-0.5223133580561887-0.9046732736252343j)
2022-09-17T03:05:00,(1.0306294852919733+0j),(-0.5202430493236903+0.9010873937131932j),(-0.5240318258247336-0.9076497471115237j)
2022-09-17T03:10:00,(1.0157416453698762+0j),(-0.5129932351531034+0.8885303472243041j),(-0.5165969033765774-0.8947720836809826j)
2022-09-17T03:15:00,(1.0185539627301472+0j),(-0.5147727903419614+0.891612627226279j),(-0.5163873884795386-0.8944091932343688j)
2022-09-17T03:20:00,(1.019159506881884+0j),(-0.5128266423824983+0.8882418000814426j),(-0.5177609507082049-0.8967882728017763j)
2022-09-17T03:25:00,(1.0173181649259202+0j),(-0.5151627783669479+0.892288106299899j),(-0.515418176993326-0.8927304696969695j)
2022-09-17T03:30:00,(1.017964693371483+0j),(-0.5140949824505218+0.8904386295205343j),(-0.5167038105622332-0.8949572523582328j)
2022-09-17T03:35:00,(1.0149520172700532+0j),(-0.5119325872108468+0.8866932510993724j),(-0.5163580949584418-0.8943584553674966j)
2022-09-17T03:40:00,(1.0175324703606927+0j),(-0.5124497677649372+0.8875890340957436j),(-0.5167023106875668-0.8949546544991055j)
2022-09-17T03:45:00,(1.0171461266974873+0j),(-0.5154517285980804+0.8927885827810795j),(-0.5155926573732518-0.8930326785799246j)
2022-09-17T03:50:00,(1.018091671314524+0j),(-0.5146733514928534+0.891440394087378j),(-0.5164852975776696-0.8945787767668549j)
2022-09-17T03:55:00,(1.0181942503244024+0j),(-0.5130370624091068+0.8886062582584585j),(-0.516917266151758-0.8953269682844491j)
2022-09-17T04:00:00,(1.014677004329698+0j),(-0.5132838329991146+0.8890336774581656j),(-0.5156338626121539-0.8931040481472413j)
2022-09-17T04:07:30,(1.0138487506943943+0j),(-0.5132145794122218+0.8889137267270608j),(-0.5160367941966216-0.8938019461235135j)
2022-09-17T04:10:00,(1.0147807354148466+0j),(-0.5131960136693744+0.8888815699171688j),(-0.5161017136577531-0.8939143899285932j)
2022-09-17T04:15:00,(1.0145641384221629+0j),(-0.5125580195948486+0.8877765317651624j),(-0.5158184535567194-0.8934237690418457j)
2022-09-17T04:20:00,(1.0128186777054973+0j),(-0.5118612754744425+0.8865697355487443j),(-0.5147490539481725-0.8915715145862483j)
2022-09-17T04:25:00,(1.0143629068672546+0j),(-0.5118213286833335+0.886500545676944j),(-0.5156329020344063-0.8931023843777774j)
2022-09-17T04:30:00,(1.0140282738479531+0j),(-0.5109300852659582+0.8849568667961385j),(-0.5150979878581275-0.8921758858467741j)
