Timestamp;Voltage Ry [V];QoS
08/12/2022 12:00:00 AM;11329.766;0
08/12/2022 12:00:30 AM;11317.245;0
08/12/2022 12:01:00 AM;11309.708;0
08/12/2022 12:01:30 AM;11297.819;0
08/12/2022 12:02:00 AM;11317.979;0
08/12/2022 12:02:30 AM;11318.231;0
08/12/2022 12:03:00 AM;11327.952;0
08/12/2022 12:03:30 AM;11327.277;0
08/12/2022 12:04:00 AM;11325.782;0
08/12/2022 12:04:30 AM;11320.522;0
08/12/2022 12:05:00 AM;11308.032;0
08/12/2022 12:05:30 AM;11315.481;0
08/12/2022 12:06:00 AM;11322.641;0
08/12/2022 12:06:30 AM;11327.355;0
08/12/2022 12:07:00 AM;11323.471;0
08/12/2022 12:07:30 AM;11324.709;0
08/12/2022 12:08:00 AM;11329.617;0
08/12/2022 12:08:30 AM;11327.598;0
08/12/2022 12:09:00 AM;11320.053;0
08/12/2022 12:09:30 AM;11318.672;0
08/12/2022 12:10:00 AM;11318.553;0
08/12/2022 12:10:30 AM;11316.732;0
08/12/2022 12:11:00 AM;11306.213;0
08/12/2022 12:11:30 AM;11305.918;0
08/12/2022 12:12:00 AM;11303.289;0
08/12/2022 12:12:30 AM;11297.348;0
08/12/2022 12:13:00 AM;11308.245;0
08/12/2022 12:13:30 AM;11311.388;0
08/12/2022 12:14:00 AM;11320.297;0
08/12/2022 12:14:30 AM;11307.901;0
08/12/2022 12:15:00 AM;11305.567;0
08/12/2022 12:15:30 AM;11316.416;0
08/12/2022 12:16:00 AM;11302.088;0
08/12/2022 12:16:30 AM;11306.54;0
08/12/2022 12:17:00 AM;11300.979;0
08/12/2022 12:17:30 AM;11299.642;0
08/12/2022 12:18:00 AM;11306.067;0
08/12/2022 12:18:30 AM;11300.563;0
08/12/2022 12:19:00 AM;11302.311;0
08/12/2022 12:19:30 AM;11287.179;0
08/12/2022 12:20:00 AM;11277.206;0
08/12/2022 12:20:30 AM;11310.067;0
08/12/2022 12:21:00 AM;11313.99;0
08/12/2022 12:21:30 AM;11308.549;0
08/12/2022 12:22:00 AM;11305.939;0
08/12/2022 12:22:30 AM;11313.428;0
08/12/2022 12:23:00 AM;11336.82;0
08/12/2022 12:23:30 AM;11322.94;0
08/12/2022 12:24:00 AM;11335.486;0
08/12/2022 12:24:30 AM;11336.334;0
08/12/2022 12:25:00 AM;11346.012;0
08/12/2022 12:25:30 AM;11338.164;0
08/12/2022 12:26:00 AM;11339.206;0
08/12/2022 12:26:30 AM;11343.203;0
08/12/2022 12:27:00 AM;11349.122;0
08/12/2022 12:27:30 AM;11353.447;0
08/12/2022 12:28:00 AM;11353.442;0
08/12/2022 12:28:30 AM;11353.143;0
08/12/2022 12:29:00 AM;11351.054;0
08/12/2022 12:29:30 AM;11360.396;0
08/12/2022 12:30:00 AM;11349.872;0
08/12/2022 12:30:30 AM;11344.329;0
08/12/2022 12:31:00 AM;11342.022;0
08/12/2022 12:31:30 AM;11334.503;0
08/12/2022 12:32:00 AM;11342.105;0
08/12/2022 12:32:30 AM;11340.55;0
08/12/2022 12:33:00 AM;11330.575;0
08/12/2022 12:33:30 AM;11351.812;0
08/12/2022 12:34:00 AM;11360.504;0
08/12/2022 12:34:30 AM;11354.544;0
08/12/2022 12:35:00 AM;11343.473;0
08/12/2022 12:35:30 AM;11344.424;0
08/12/2022 12:36:00 AM;11332.188;0
08/12/2022 12:36:30 AM;11328.111;0
08/12/2022 12:37:00 AM;11344.624;0
08/12/2022 12:37:30 AM;11338.605;0
08/12/2022 12:38:00 AM;11333.745;0
08/12/2022 12:38:30 AM;11333.451;0
08/12/2022 12:39:00 AM;11347.434;0
08/12/2022 12:39:30 AM;11348.097;0
08/12/2022 12:40:00 AM;11331.332;0
08/12/2022 12:40:30 AM;11351.739;0
08/12/2022 12:41:00 AM;11349.706;0
08/12/2022 12:41:30 AM;11349.597;0
08/12/2022 12:42:00 AM;11341.15;0
08/12/2022 12:42:30 AM;11335.728;0
08/12/2022 12:43:00 AM;11352.202;0
08/12/2022 12:43:30 AM;11337.824;0
08/12/2022 12:44:00 AM;11360.063;0
08/12/2022 12:44:30 AM;11367.236;0
08/12/2022 12:45:00 AM;11365.304;0
08/12/2022 12:45:30 AM;11370.248;0
08/12/2022 12:46:00 AM;11361.328;0
08/12/2022 12:46:30 AM;11367.309;0
08/12/2022 12:47:00 AM;11363.417;0
08/12/2022 12:47:30 AM;11367.058;0
08/12/2022 12:48:00 AM;11374.89;0
08/12/2022 12:48:30 AM;11369.596;0
08/12/2022 12:49:00 AM;11369.486;0
08/12/2022 12:49:30 AM;11371.855;0
08/12/2022 12:50:00 AM;11371.661;0
08/12/2022 12:50:30 AM;11374.639;0
08/12/2022 12:51:00 AM;11374.538;0
08/12/2022 12:51:30 AM;11377.063;0
08/12/2022 12:52:00 AM;11375.828;0
08/12/2022 12:52:30 AM;11383.044;0
08/12/2022 12:53:00 AM;11382.572;0
08/12/2022 12:53:30 AM;11381.698;0
08/12/2022 12:54:00 AM;11381.96;0
08/12/2022 12:54:30 AM;11381.655;0
08/12/2022 12:55:00 AM;11384.506;0
08/12/2022 12:55:30 AM;11385.077;0
08/12/2022 12:56:00 AM;11384.428;0
08/12/2022 12:56:30 AM;11385.207;0
08/12/2022 12:57:00 AM;11291.204;0
08/12/2022 12:57:30 AM;11237.819;0
08/12/2022 12:58:00 AM;11192.504;0
08/12/2022 12:58:30 AM;11192.603;0
08/12/2022 12:59:00 AM;11183.958;0
08/12/2022 12:59:30 AM;11175.362;0
08/12/2022 01:00:00 AM;11169.325;0
08/12/2022 01:00:30 AM;11159.582;0
08/12/2022 01:01:00 AM;11148.159;0
08/12/2022 01:01:30 AM;11154.834;0
08/12/2022 01:02:00 AM;11154.843;0
08/12/2022 01:02:30 AM;11324.137;0
08/12/2022 01:03:00 AM;11321.811;0
08/12/2022 01:03:30 AM;11327.424;0
08/12/2022 01:04:00 AM;11329.445;0
08/12/2022 01:04:30 AM;11322.521;0
08/12/2022 01:05:00 AM;11315.604;0
08/12/2022 01:05:30 AM;11319.585;0
08/12/2022 01:06:00 AM;11310.346;0
08/12/2022 01:06:30 AM;11320.828;0
08/12/2022 01:07:00 AM;11322.029;0
08/12/2022 01:07:30 AM;11322.443;0
08/12/2022 01:08:00 AM;11322.293;0
08/12/2022 01:08:30 AM;11322.134;0
08/12/2022 01:09:00 AM;11324.358;0
08/12/2022 01:09:30 AM;11328.653;0
08/12/2022 01:10:00 AM;11329.361;0
08/12/2022 01:10:30 AM;11330.092;0
08/12/2022 01:11:00 AM;11330.521;0
08/12/2022 01:11:30 AM;11333.564;0
08/12/2022 01:12:00 AM;11338.133;0
08/12/2022 01:12:30 AM;11333.68;0
08/12/2022 01:13:00 AM;11335.973;0
08/12/2022 01:13:30 AM;11336.229;0
08/12/2022 01:14:00 AM;11335.077;0
08/12/2022 01:14:30 AM;11344.072;0
08/12/2022 01:15:00 AM;11342.088;0
08/12/2022 01:15:30 AM;11337.925;0
08/12/2022 01:16:00 AM;11339.387;0
08/12/2022 01:16:30 AM;11342.736;0
08/12/2022 01:17:00 AM;11340.968;0
08/12/2022 01:17:30 AM;11334.854;0
08/12/2022 01:18:00 AM;11340.208;0
08/12/2022 01:18:30 AM;11342.415;0
08/12/2022 01:19:00 AM;11346.804;0
08/12/2022 01:19:30 AM;11340.104;0
08/12/2022 01:20:00 AM;11341.21;0
08/12/2022 01:20:30 AM;11342.979;0
08/12/2022 01:21:00 AM;11343.082;0
08/12/2022 01:21:30 AM;11342.131;0
08/12/2022 01:22:00 AM;11341.443;0
08/12/2022 01:22:30 AM;11341.898;0
08/12/2022 01:23:00 AM;11342.105;0
08/12/2022 01:23:30 AM;11343.825;0
08/12/2022 01:24:00 AM;11344.072;0
08/12/2022 01:24:30 AM;11342.163;0
08/12/2022 01:25:00 AM;11345.439;0
08/12/2022 01:25:30 AM;11337.763;0
08/12/2022 01:26:00 AM;11344.429;0
08/12/2022 01:26:30 AM;11348.436;0
08/12/2022 01:27:00 AM;11342.631;0
08/12/2022 01:27:30 AM;11349.276;0
08/12/2022 01:28:00 AM;11341.721;0
08/12/2022 01:28:30 AM;11343.187;0
08/12/2022 01:29:00 AM;11348.574;0
08/12/2022 01:29:30 AM;11346.675;0
08/12/2022 01:30:00 AM;11345.854;0
08/12/2022 01:30:30 AM;11335.383;0
08/12/2022 01:31:00 AM;11331.868;0
08/12/2022 01:31:30 AM;11338.521;0
08/12/2022 01:32:00 AM;11331.248;0
08/12/2022 01:32:30 AM;11330.995;0
08/12/2022 01:33:00 AM;11330.316;0
08/12/2022 01:33:30 AM;11330;0
08/12/2022 01:34:00 AM;11332.253;0
08/12/2022 01:34:30 AM;11329.877;0
08/12/2022 01:35:00 AM;11320.834;0
08/12/2022 01:35:30 AM;11331.114;0
08/12/2022 01:36:00 AM;11329.57;0
08/12/2022 01:36:30 AM;11343.04;0
08/12/2022 01:37:00 AM;11338.74;0
08/12/2022 01:37:30 AM;11333.615;0
08/12/2022 01:38:00 AM;11338.514;0
08/12/2022 01:38:30 AM;11335.21;0
08/12/2022 01:39:00 AM;11332.9;0
08/12/2022 01:39:30 AM;11335.923;0
08/12/2022 01:40:00 AM;11334.445;0
08/12/2022 01:40:30 AM;11333.17;0
08/12/2022 01:41:00 AM;11331.178;0
08/12/2022 01:41:30 AM;11335.274;0
08/12/2022 01:42:00 AM;11337.3;0
08/12/2022 01:42:30 AM;11334.467;0
08/12/2022 01:43:00 AM;11335.624;0
08/12/2022 01:43:30 AM;11340.867;0
08/12/2022 01:44:00 AM;11341.155;0
08/12/2022 01:44:30 AM;11345.531;0
08/12/2022 01:45:00 AM;11351.317;0
08/12/2022 01:45:30 AM;11348.32;0
08/12/2022 01:46:00 AM;11343.746;0
08/12/2022 01:46:30 AM;11341.478;0
08/12/2022 01:47:00 AM;11350.164;0
08/12/2022 01:47:30 AM;11351.468;0
08/12/2022 01:48:00 AM;11348.579;0
08/12/2022 01:48:30 AM;11345.079;0
08/12/2022 01:49:00 AM;11342.198;0
08/12/2022 01:49:30 AM;11344.769;0
08/12/2022 01:50:00 AM;11342.061;0
08/12/2022 01:50:30 AM;11337.056;0
08/12/2022 01:51:00 AM;11353.789;0
08/12/2022 01:51:30 AM;11359.235;0
08/12/2022 01:52:00 AM;11351.442;0
08/12/2022 01:52:30 AM;11346.562;0
08/12/2022 01:53:00 AM;11341.655;0
08/12/2022 01:53:30 AM;11339.49;0
08/12/2022 01:54:00 AM;11335.769;0
08/12/2022 01:54:30 AM;11345.692;0
08/12/2022 01:55:00 AM;11349.867;0
08/12/2022 01:55:30 AM;11344.763;0
08/12/2022 01:56:00 AM;11342.876;0
08/12/2022 01:56:30 AM;11348.637;0
08/12/2022 01:57:00 AM;11348.712;0
08/12/2022 01:57:30 AM;11382.356;0
08/12/2022 01:58:00 AM;11385.531;0
08/12/2022 01:58:30 AM;11388.709;0
08/12/2022 01:59:00 AM;11394.823;0
08/12/2022 01:59:30 AM;11414.409;0
08/12/2022 02:00:00 AM;11412.93;0
08/12/2022 02:00:30 AM;11413.169;0
08/12/2022 02:01:00 AM;11429.093;0
08/12/2022 02:01:30 AM;11427.663;0
08/12/2022 02:02:00 AM;11417.791;0
08/12/2022 02:02:30 AM;11427.053;0
08/12/2022 02:03:00 AM;11425.175;0
08/12/2022 02:03:30 AM;11416.673;0
08/12/2022 02:04:00 AM;11412.609;0
08/12/2022 02:04:30 AM;11408.453;0
08/12/2022 02:05:00 AM;11397.134;0
08/12/2022 02:05:30 AM;11401.736;0
08/12/2022 02:06:00 AM;11404.417;0
08/12/2022 02:06:30 AM;11407.771;0
08/12/2022 02:07:00 AM;11413.256;0
08/12/2022 02:07:30 AM;11414.854;0
08/12/2022 02:08:00 AM;11408.299;0
08/12/2022 02:08:30 AM;11407.035;0
08/12/2022 02:09:00 AM;11410.965;0
08/12/2022 02:09:30 AM;11419.258;0
08/12/2022 02:10:00 AM;11415.881;0
08/12/2022 02:10:30 AM;11412.702;0
08/12/2022 02:11:00 AM;11412.754;0
08/12/2022 02:11:30 AM;11414.848;0
08/12/2022 02:12:00 AM;11416.599;0
08/12/2022 02:12:30 AM;11418.232;0
08/12/2022 02:13:00 AM;11416.153;0
08/12/2022 02:13:30 AM;11412.488;0
08/12/2022 02:14:00 AM;11405.96;0
08/12/2022 02:14:30 AM;11404.832;0
08/12/2022 02:15:00 AM;11402.663;0
08/12/2022 02:15:30 AM;11395.238;0
08/12/2022 02:16:00 AM;11395.297;0
08/12/2022 02:16:30 AM;11395.116;0
08/12/2022 02:17:00 AM;11399.869;0
08/12/2022 02:17:30 AM;11394.315;0
08/12/2022 02:18:00 AM;11397.913;0
08/12/2022 02:18:30 AM;11393.321;0
08/12/2022 02:19:00 AM;11398.059;0
08/12/2022 02:19:30 AM;11395.394;0
08/12/2022 02:20:00 AM;11401.442;0
08/12/2022 02:20:30 AM;11393.459;0
08/12/2022 02:21:00 AM;11398.629;0
08/12/2022 02:21:30 AM;11398.956;0
08/12/2022 02:22:00 AM;11399.9;0
08/12/2022 02:22:30 AM;11408.708;0
08/12/2022 02:23:00 AM;11405.121;0
08/12/2022 02:23:30 AM;11406.381;0
08/12/2022 02:24:00 AM;11410.024;0
08/12/2022 02:24:30 AM;11414.646;0
08/12/2022 02:25:00 AM;11403.476;0
08/12/2022 02:25:30 AM;11402.901;0
08/12/2022 02:26:00 AM;11411.845;0
08/12/2022 02:26:30 AM;11391.858;0
08/12/2022 02:27:00 AM;11394.399;0
08/12/2022 02:27:30 AM;11390.412;0
08/12/2022 02:28:00 AM;11390.288;0
08/12/2022 02:28:30 AM;11393.828;0
08/12/2022 02:29:00 AM;11387.91;0
08/12/2022 02:29:30 AM;11389.563;0
08/12/2022 02:30:00 AM;11394.604;0
08/12/2022 02:30:30 AM;11385.626;0
08/12/2022 02:31:00 AM;11388.549;0
08/12/2022 02:31:30 AM;11395.072;0
08/12/2022 02:32:00 AM;11400.578;0
08/12/2022 02:32:30 AM;11402.324;0
08/12/2022 02:33:00 AM;11399.458;0
08/12/2022 02:33:30 AM;11398.007;0
08/12/2022 02:34:00 AM;11404.605;0
08/12/2022 02:34:30 AM;11399.303;0
08/12/2022 02:35:00 AM;11405.535;0
08/12/2022 02:35:30 AM;11401.487;0
08/12/2022 02:36:00 AM;11409.122;0
08/12/2022 02:36:30 AM;11406.215;0
08/12/2022 02:37:00 AM;11409.979;0
08/12/2022 02:37:30 AM;11409.494;0
08/12/2022 02:38:00 AM;11406.852;0
08/12/2022 02:38:30 AM;11408.083;0
