IsoDatetime,SOURCEBUS.1,SOURCEBUS.2,SOURCEBUS.3
2022-05-13T00:00:00,(1.0191081940066222+0j),(-0.5155182445097322+0.892903791719572j),(-0.5182771370167136-0.897682333714285j)
2022-05-13T00:05:00,(1.0182146836134554+0j),(-0.5147981643764535+0.8916565763432125j),(-0.5173986308002468-0.8961607163125994j)
2022-05-13T00:10:00,(1.0175244450287737+0j),(-0.514408188716261+0.8909811186860438j),(-0.5173005096097343-0.8959907654253323j)
2022-05-13T00:15:00,(1.0173382223055258+0j),(-0.5147919359297592+0.8916457883570859j),(-0.5174626830388449-0.8962716580441898j)
2022-05-13T00:20:00,(1.019296710213775+0j),(-0.5145986339217378+0.8913109794579875j),(-0.5183078818656606-0.8977355853547322j)
2022-05-13T00:25:00,(1.0194768291688683+0j),(-0.5148028675844983+0.8916647225385045j),(-0.5177238092284155-0.896723941871713j)
2022-05-13T00:30:00,(1.0196478950553387+0j),(-0.5150569862597786+0.8921048689952421j),(-0.5180834040833683-0.8973467784306315j)
2022-05-13T00:35:00,(1.0170782824866138+0j),(-0.5143043420801363+0.8908012510360807j),(-0.5166392899845762-0.8948454994395971j)
2022-05-13T00:40:00,(1.0197386645657205+0j),(-0.5157661747665868+0.8933332195211778j),(-0.518156199887438-0.8974728644618581j)
2022-05-13T00:45:00,(1.018690039593197+0j),(-0.5149390396301364+0.8919005794401202j),(-0.5172245345538479-0.8958591727684292j)
2022-05-13T00:50:00,(1.017607293920894+0j),(-0.5152829157163774+0.8924961902929975j),(-0.5172918944749512-0.8959758435741741j)
2022-05-13T00:55:00,(1.0192552468714753+0j),(-0.5166018705616164+0.894780687097841j),(-0.5183312415365775-0.8977760454916084j)
2022-05-13T01:00:00,(1.0207483801700499+0j),(-0.5159992230258916+0.8937368709469091j),(-0.5183164067742687-0.8977503509295711j)
2022-05-13T01:05:00,(1.0218836634543875+0j),(-0.5127461148023524+0.8881023222212192j),(-0.5173656668298446-0.8961036210410434j)
2022-05-13T01:10:00,(1.0212826912039454+0j),(-0.5159014810502507+0.8935675768790671j),(-0.5183831267286545-0.8978659132804462j)
