x1,wt_01,wt_02,wt_03,storage_01,storage_02,storage_03,solar_01,solar_02,solar_03
2022-09-17T00:00:00.0,2.9625210441078424,2.9698896352764645,2.944162619718695,16.194506030208604,16.23478614715553,16.094150417523085,4.061050782171839,4.07115171394019,4.035884887106463
2022-09-17T00:05:00.0,0.0,0.0,0.0,16.164501127918523,16.21407897819323,16.0775775188769,4.073294409118318,4.08578753703745,4.051390519358421
2022-09-17T00:10:00.0,6.772545611646975,6.794960556813015,6.73940835788058,16.22700709419526,16.280713262463777,16.147610293821604,4.074841043987679,4.088327455715087,4.054903335262599
2022-09-17T00:15:00.0,21.175481793413137,21.231381135252622,21.051299137090115,21.567340274288135,21.62427404978957,21.440859581607192,4.06156453055483,4.0722863071033695,4.037745668856555
2022-09-17T00:22:30.0,12.934862097352303,12.985783495609576,12.878367598001347,20.396942690496044,20.477240480619848,20.30785669507398,4.069029287284485,4.085048063464614,4.051257333420625
2022-09-17T00:25:00.0,12.943250057811456,12.973822882876567,12.872938659446008,19.41830663800478,19.46417398115683,19.312820899298593,4.048026680376658,4.057588390998433,4.026036653509631
2022-09-17T00:30:00.0,11.308933111276035,11.337247920242419,11.25045171415828,20.173150030317203,20.223658675450945,20.068829491285744,4.078337963143092,4.0885491262289895,4.057247830267058
2022-09-17T00:35:00.0,27.80291299088412,27.86000965573875,27.628409057541074,19.54347524260666,19.583610147045906,19.42081135835304,4.077006431705616,4.085379060498778,4.051417254815021
2022-09-17T00:40:00.0,9.156506742430633,9.18164030232439,9.111496642345609,20.012937502796078,20.06787071887134,19.91456108640335,4.053273829438107,4.064399600807433,4.033349390362492
2022-09-17T00:45:00.0,4.494805640887473,4.50187761208513,4.471475196915121,16.271296625708093,16.296897319103778,16.186839898407055,4.041015338554682,4.047373331839995,4.020040308824821
2022-09-17T00:50:00.0,13.0546995716673,13.072306835975066,12.962872208138009,16.271789188972427,16.293735438400663,16.157332667554606,4.088751392285253,4.094266013748389,4.059990924959362
2022-09-17T00:55:00.0,11.335599989110824,11.351973181473868,11.267885100490883,16.263309867761098,16.28680066676428,16.166158572960214,4.053947063242028,4.0598026028834955,4.029730208896226
2022-09-17T01:00:00.0,3.0213883475646606,3.030425111543355,3.006829259925477,16.23705701715111,16.285620933832288,16.158815921031948,4.06661714397167,4.078780115127432,4.047021438758267
2022-09-17T01:05:00.0,0.020379222109478252,0.02046927184279856,0.020349843480187275,16.242300400405362,16.314070304659193,16.218885545818036,4.111241105336653,4.1294074594380135,4.105314351719137
2022-09-17T01:10:00.0,27.99722022657147,28.072637360304647,27.843703603228384,16.308245539992473,16.35217565608578,16.218822848464924,4.156659281842337,4.167856226624893,4.133867151331806
2022-09-17T01:15:00.0,11.169515209367184,11.185443509222917,11.092673426632825,16.179071198003456,16.202143380868918,16.067765680213565,4.1567150619527595,4.162642750189945,4.128118530259841
2022-09-17T01:22:30.0,3.7744690597809134,3.7794782245143055,3.7532769520424076,16.287713941299728,16.30932965491935,16.196265055856216,4.109526717358526,4.114980543043011,4.086453397225499
2022-09-17T01:25:00.0,2.636649079994976,2.6427595548808953,2.6230410460833036,16.410594176333387,16.448625981300655,16.32589730720635,4.112845237357746,4.122376819593404,4.09161839382818
2022-09-17T01:32:30.0,21.12219554853386,21.195626878930664,21.07443605546632,16.39553778644283,16.452536887197443,16.358465760883227,4.1244166362305545,4.138755174097663,4.115090898889799
2022-09-17T01:35:00.0,19.33407983161444,19.373557469828416,19.209664894397424,16.44847775436499,16.482063374141717,16.342631686439972,4.1455224859582485,4.153987095514735,4.118846020136541
2022-09-17T01:40:00.0,44.8532763461859,45.009319744901404,44.61854464866614,16.407715903012473,16.46479792607147,16.32184902058876,4.1129333166925335,4.127242106277343,4.091409006812438
2022-09-17T01:45:00.0,37.42199161662768,37.51610474105983,37.24529005177597,18.737249529935244,18.784372118027097,18.648774780999503,4.1101977938371945,4.1205345915249,4.090789997762053
2022-09-17T01:50:00.0,25.984400576801026,26.02210767416698,25.83491564468675,22.15023236196878,22.182375530554967,22.022804909056873,4.149077725376482,4.155098633086369,4.125208612048984
2022-09-17T01:55:00.0,49.701092269289084,49.81301107348965,49.40976511772228,19.758756881192912,19.8032503991754,19.642939258322357,4.117329868514266,4.126601428038283,4.093195791618004
2022-09-17T02:00:00.0,40.285368703188034,40.37492591182313,40.0583751601566,19.778345508809604,19.822314162249015,19.666901655448786,4.173628401400839,4.182906670944887,4.150111508577772
2022-09-17T02:05:00.0,37.3013837082659,37.41438816746005,37.0680867786856,16.156210649490877,16.205155853812286,16.055163611459857,4.166534002948336,4.179156508467156,4.1404749270308825
2022-09-17T02:10:00.0,84.85626367009876,85.10330630759255,84.42987153603798,16.133359768451513,16.18032893226398,16.0522916492142,4.166144832559223,4.178273759324346,4.145210474750735
2022-09-17T02:15:00.0,53.76491348934496,53.95686293840126,53.55981748835649,16.101972988397105,16.15945963988134,16.04054909586914,4.146980876501654,4.161786269886119,4.131161466802153
2022-09-17T02:20:00.0,34.6485123025452,34.76368496193682,34.50719724448938,16.148328339227064,16.202005850784207,16.082466869134606,4.131190826632537,4.144923024707967,4.114341633616467
2022-09-17T02:25:00.0,31.168453594558905,31.277726936705996,31.024199381849723,16.143924276996383,16.200523188962453,16.06920677201817,4.134976387378641,4.149473182613521,4.115838839809182
2022-09-17T02:30:00.0,25.969558234618386,26.039414759023895,25.836200235835264,16.16587877914016,16.209364005006115,16.082864304150636,4.1481011967691614,4.159259335458727,4.126800007532387
